Image Number, Size, Density, Response, Time, Correct?
3,2,-1,0,5.184900761,1
2,1,-1,0,4.639746904,1
1,0,-1,1,7.745323896,0
5,1,-1,0,3.876116037,1
4,0,-1,1,4.135513783,0
6,2,-1,0,5.122400045,1
7,0,-1,1,4.018905878,0
16,0,1,1,2.04976511,0
17,1,1,0,4.217149973,1
29,1,0,0,3.205584288,0
15,2,1,0,3.211987972,1
14,1,1,0,3.184367895,1
28,0,0,0,1.960508823,0
10,0,-1,0,3.534467936,1
38,1,0,0,2.892951727,0
39,2,0,0,2.451998949,0
11,1,-1,0,2.534248114,1
13,0,1,0,4.136345863,1
12,2,-1,0,3.212730169,1
23,1,1,0,2.428940773,1
37,0,0,0,1.115672827,0
36,2,0,0,2.201941013,0
22,0,1,0,2.025821209,1
34,0,0,0,1.21108079,0
20,1,1,0,2.070112944,1
21,2,1,0,2.389245033,1
35,1,0,0,2.688331127,0
31,0,0,0,2.345122099,0
25,0,0,0,2.378005981,0
19,0,1,0,1.955840111,1
18,2,1,1,2.678491831,0
24,2,1,1,2.540050983,0
30,2,0,0,2.450076103,0
26,1,0,0,1.966697931,0
32,1,0,0,1.816944122,0
33,2,0,0,1.476727009,0
27,2,0,0,1.586114883,0
40,0,0,0,0.663701057,0
41,1,0,0,0.625438929,0
9,2,-1,0,0.642052174,1
8,1,-1,0,1.064930916,1
42,2,0,0,0.613654137,0